Email,FirstName,LastName,Name,SUM(I.Total)
eduardo@woodstock.com.br,Eduardo,Martins,Rock,244.53
robbrown@shaw.ca,Robert,Brown,Rock,226.71
kara.nielsen@jubii.dk,Kara,Nielsen,Rock,219.78
nschroder@surfeu.de,Niklas,Schröder,Rock,209.88
daan_peeters@apple.be,Daan,Peeters,Rock,209.88
astrid.gruber@apple.at,Astrid,Gruber,Rock,203.4
enrique_munoz@yahoo.es,Enrique,Muñoz,Rock,201.96
michelleb@aol.com,Michelle,Brooks,Rock,200.97
johavanderberg@yahoo.nl,Johannes,Van der Berg,Rock,198.0
stanisław.wójcik@wp.pl,Stanisław,Wójcik,Rock,191.07
